Record Type,Date and Time,Annotation,Average Above PAR,Average Below PAR,Tau [Τ],Leaf Area Index [LAI],Leaf Distribuition [Χ],Beam Fraction [Fb],Zenith Angle,Latitude,Longitude,Segment 1 PAR,Segment 2 PAR,Segment 3 PAR,Segment 4 PAR,Segment 5 PAR,Segment 6 PAR,Segment 7 PAR,Segment 8 PAR,External Sensor PAR,Record ID,Raw Record ID
BLW,22.05.2014 11:34:57,,,,,,,,,,,0.0,0.0,0.0,1531.5,1529.4,1502.4,1477.1,1505.0,1606.9,3395,
BLW,22.05.2014 11:35:00,,,,,,,,,,,0.0,0.0,0.0,1536.1,1543.8,1506.1,1497.7,1522.0,1603.7,3396,
BLW,22.05.2014 11:35:03,,,,,,,,,,,0.0,0.0,0.0,1520.5,1515.8,1488.7,1468.4,1497.9,1597.7,3397,
BLW,22.05.2014 11:35:05,,,,,,,,,,,0.0,0.0,0.0,1510.8,1512.7,1485.0,1465.4,1495.4,1593.3,3398,
BLW,22.05.2014 11:35:07,,,,,,,,,,,0.0,0.0,0.0,1499.0,1515.5,1482.5,1453.5,1478.4,1593.9,3399,
BLW,22.05.2014 11:35:08,,,,,,,,,,,0.0,0.0,0.0,1502.8,1515.2,1479.8,1451.6,1479.6,1590.2,3400,
BLW,22.05.2014 11:35:09,,,,,,,,,,,0.0,0.0,0.0,1502.8,1515.2,1479.8,1451.6,1479.6,1590.2,3401,
BLW,22.05.2014 11:35:10,,,,,,,,,,,0.0,0.0,0.0,1530.0,1541.0,1532.3,1516.9,1515.3,1585.3,3402,
BLW,22.05.2014 11:35:13,,,,,,,,,,,0.0,0.0,0.0,1531.5,1498.7,1377.7,1433.9,1610.8,1594.1,3403,
BLW,22.05.2014 11:35:14,,,,,,,,,,,0.0,0.0,0.0,1518.7,1519.9,1486.8,1476.4,1469.7,1594.7,3404,
SUM,22.05.2014 11:35:16,NET1,1595.0,1499.2,0.940,0.09,1.00,0.91,44°,47°,7°,,,,,,,,,,3405,3395
BLW,22.05.2014 11:37:36,,,,,,,,,,,0.0,0.0,0.0,1518.3,1516.1,1505.0,1495.2,1494.1,1608.9,3406,
BLW,22.05.2014 11:37:38,,,,,,,,,,,0.0,0.0,0.0,1546.4,1546.8,1552.8,1550.9,1520.5,1608.8,3407,
BLW,22.05.2014 11:37:39,,,,,,,,,,,0.0,0.0,0.0,1523.4,1552.5,1529.0,1525.1,1515.3,1608.9,3408,
BLW,22.05.2014 11:37:40,,,,,,,,,,,0.0,0.0,0.0,1520.1,1528.6,1511.0,1507.3,1498.3,1609.1,3409,
BLW,22.05.2014 11:37:43,,,,,,,,,,,0.0,0.0,0.0,1518.6,1504.6,1494.5,1468.1,1450.0,1611.2,3410,
BLW,22.05.2014 11:37:44,,,,,,,,,,,0.0,0.0,0.0,1482.1,1494.8,1476.9,1453.6,1446.7,1613.3,3411,
BLW,22.05.2014 11:37:45,,,,,,,,,,,0.0,0.0,0.0,1510.4,1528.7,1531.0,1512.7,1499.4,1608.8,3412,
BLW,22.05.2014 11:37:46,,,,,,,,,,,0.0,0.0,0.0,1511.0,1525.5,1501.7,1500.8,1498.8,1608.4,3413,
BLW,22.05.2014 11:37:47,,,,,,,,,,,0.0,0.0,0.0,1501.2,1508.7,1491.7,1485.0,1466.6,1608.8,3414,
BLW,22.05.2014 11:37:48,,,,,,,,,,,0.0,0.0,0.0,1530.1,1523.5,1527.9,1499.1,1502.2,1608.7,3415,
SUM,22.05.2014 11:37:49,NET2,1609.5,1508.1,0.937,0.10,1.00,0.91,44°,47°,7°,,,,,,,,,,3416,3406
BLW,22.05.2014 11:38:09,,,,,,,,,,,0.0,0.0,0.0,1529.6,1529.4,1535.3,1527.0,1539.2,1604.2,3417,
BLW,22.05.2014 11:38:10,,,,,,,,,,,0.0,0.0,0.0,1565.1,1557.3,1545.8,1523.3,1561.8,1603.4,3418,
BLW,22.05.2014 11:38:11,,,,,,,,,,,0.0,0.0,0.0,1525.6,1532.2,1519.6,1542.1,1529.4,1599.7,3419,
BLW,22.05.2014 11:38:12,,,,,,,,,,,0.0,0.0,0.0,1504.5,1514.6,1488.7,1477.2,1489.2,1604.0,3420,
BLW,22.05.2014 11:38:13,,,,,,,,,,,0.0,0.0,0.0,1475.3,1461.1,1464.7,1358.6,1331.2,1604.8,3421,
BLW,22.05.2014 11:38:14,,,,,,,,,,,0.0,0.0,0.0,1571.9,1576.9,1560.1,1549.1,1528.3,1604.3,3422,
BLW,22.05.2014 11:38:16,,,,,,,,,,,0.0,0.0,0.0,1536.1,1569.1,1571.1,1583.4,1559.2,1608.8,3423,
BLW,22.05.2014 11:38:18,,,,,,,,,,,0.0,0.0,0.0,1487.6,1475.5,1456.8,1417.4,1324.1,1607.2,3424,
BLW,22.05.2014 11:38:19,,,,,,,,,,,0.0,0.0,0.0,1556.3,1582.7,1565.1,1568.4,1556.2,1604.2,3425,
SUM,22.05.2014 11:38:20,NET2O,1604.6,1516.0,0.945,0.09,1.00,0.91,44°,47°,7°,,,,,,,,,,3426,3417
