place,plot,subplot,treatment,herbicide,fungicide
ZOL,1,1,d,0,0
ZOL,1,2,d,1,0
ZOL,1,3,d,1,1
ZOL,1,4,d,0,1
ZOL,2,1,w,0,1
ZOL,2,2,w,1,1
ZOL,2,3,w,1,0
ZOL,2,4,w,0,0
ZOL,3,1,c,0,1
ZOL,3,2,c,1,1
ZOL,3,3,c,1,0
ZOL,3,4,c,0,0
ZOL,4,1,c,0,0
ZOL,4,2,c,1,0
ZOL,4,3,c,1,1
ZOL,4,4,c,0,1
ZOL,5,1,d,0,1
ZOL,5,2,d,1,1
ZOL,5,3,d,1,0
ZOL,5,4,d,0,0
ZOL,6,1,w,0,1
ZOL,6,2,w,1,1
ZOL,6,3,w,1,0
ZOL,6,4,w,0,0
THU,1,1,w,0,1
THU,1,2,w,1,1
THU,1,3,w,1,0
THU,1,4,w,0,0
THU,2,1,c,1,0
THU,2,2,c,0,0
THU,2,3,c,0,1
THU,2,4,c,1,1
THU,3,1,d,0,0
THU,3,2,d,1,0
THU,3,3,d,1,1
THU,3,4,d,0,1
THU,4,1,w,1,1
THU,4,2,w,0,1
THU,4,3,w,0,0
THU,4,4,w,1,0
THU,5,1,d,1,1
THU,5,2,d,0,1
THU,5,3,d,0,0
THU,5,4,d,1,0
THU,6,1,c,0,0
THU,6,2,c,1,0
THU,6,3,c,1,1
THU,6,4,c,0,1
KRA,1,1,w,,
KRA,1,2,w,,
KRA,1,3,w,,
KRA,1,4,w,,
KRA,2,1,d,,
KRA,2,2,d,,
KRA,2,3,d,,
KRA,2,4,d,,
KRA,3,1,c,,
KRA,3,2,c,,
KRA,3,3,c,,
KRA,3,4,c,,
KRA,4,1,w,,
KRA,4,2,w,,
KRA,4,3,w,,
KRA,4,4,w,,
KRA,5,1,c,,
KRA,5,2,c,,
KRA,5,3,c,,
KRA,5,4,c,,
KRA,6,1,d,,
KRA,6,2,d,,
KRA,6,3,d,,
KRA,6,4,d,,
BBR,1,1,d,,
BBR,1,2,d,,
BBR,1,3,d,,
BBR,1,4,d,,
BBR,2,1,c,,
BBR,2,2,c,,
BBR,2,3,c,,
BBR,2,4,c,,
BBR,3,1,w,,
BBR,3,2,w,,
BBR,3,3,w,,
BBR,3,4,w,,
BBR,4,1,w,,
BBR,4,2,w,,
BBR,4,3,w,,
BBR,4,4,w,,
BBR,5,1,d,,
BBR,5,2,d,,
BBR,5,3,d,,
BBR,5,4,d,,
BBR,6,1,c,,
BBR,6,2,c,,
BBR,6,3,c,,
BBR,6,4,c,,
BCH,1,1,w,,
BCH,1,2,w,,
BCH,1,3,w,,
BCH,1,4,w,,
BCH,2,1,d,,
BCH,2,2,d,,
BCH,2,3,d,,
BCH,2,4,d,,
BCH,3,1,c,,
BCH,3,2,c,,
BCH,3,3,c,,
BCH,3,4,c,,
BCH,4,1,w,,
BCH,4,2,w,,
BCH,4,3,w,,
BCH,4,4,w,,
BCH,5,1,d,,
BCH,5,2,d,,
BCH,5,3,d,,
BCH,5,4,d,,
BCH,6,1,c,,
BCH,6,2,c,,
BCH,6,3,c,,
BCH,6,4,c,,
CAS,1,1,d,,
CAS,1,2,d,,
CAS,1,3,d,,
CAS,1,4,d,,
CAS,2,1,c,,
CAS,2,2,c,,
CAS,2,3,c,,
CAS,2,4,c,,
CAS,3,1,w,,
CAS,3,2,w,,
CAS,3,3,w,,
CAS,3,4,w,,
CAS,4,1,w,,
CAS,4,2,w,,
CAS,4,3,w,,
CAS,4,4,w,,
CAS,5,1,c,,
CAS,5,2,c,,
CAS,5,3,c,,
CAS,5,4,c,,
CAS,6,1,d,,
CAS,6,2,d,,
CAS,6,3,d,,
CAS,6,4,d,,
NEG,1,1,d,,
NEG,1,2,d,,
NEG,1,3,d,,
NEG,1,4,d,,
NEG,2,1,c,,
NEG,2,2,c,,
NEG,2,3,c,,
NEG,2,4,c,,
NEG,3,1,w,,
NEG,3,2,w,,
NEG,3,3,w,,
NEG,3,4,w,,
NEG,4,1,c,,
NEG,4,2,c,,
NEG,4,3,c,,
NEG,4,4,c,,
NEG,5,1,d,,
NEG,5,2,d,,
NEG,5,3,d,,
NEG,5,4,d,,
NEG,6,1,w,,
NEG,6,2,w,,
NEG,6,3,w,,
NEG,6,4,w,,
SOM,1,1,c,,
SOM,1,2,c,,
SOM,1,3,c,,
SOM,1,4,c,,
SOM,2,1,d,,
SOM,2,2,d,,
SOM,2,3,d,,
SOM,2,4,d,,
SOM,3,1,w,,
SOM,3,2,w,,
SOM,3,3,w,,
SOM,3,4,w,,
SOM,4,1,d,,
SOM,4,2,d,,
SOM,4,3,d,,
SOM,4,4,d,,
SOM,5,1,w,,
SOM,5,2,w,,
SOM,5,3,w,,
SOM,5,4,w,,
SOM,6,1,c,,
SOM,6,2,c,,
SOM,6,3,c,,
SOM,6,4,c,,
